offer_id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,Data,Data_social,Min,Min_Flex,IDD,Dial,Owner,ui_product_id,ui_msg_id,atl_btl_channel,whitelist,action_family,target_intents,expected_lift_percent,offer_rationale,offer_name,offer_type,campaign_intent,benefit,validity_days,eligible_usage_segment,eligible_rfm_segment,estimated_arpu_lift,estimated_data_lift_gb,estimated_save_rate,cost_per_user,margin_impact,description
USG_1170720,Hayyak Flex,USG_1170720,Hayyak Flex 5 OR,5,COMBO,"1,536",30,Master,300,0,1.5,0,0,300,0,,Omantel,"7,798",703,ATL,yes,upsell|bundle|cross_sell,recommend_best_campaign,8.5,"COMBO bundle, 5.0 OR for 30.0 days",Hayyak Flex 5 OR,combo,recommend_best_campaign,"1GB data, 300 minutes",30,medium|high,Loyal Customers|Potential Loyalist|Champions,5.1,0.45,0.0,3.0,positive,"Hayyak Flex — Hayyak Flex 5 OR: 1GB data, 300 minutes. COMBO bundle, 5.0 OR for 30.0 days."
USG_1170830,Hayyak Plus,USG_1170830,Hayyak Plus 12,12,COMBO,"18,432",28,Master,350,0,18,0,0,350,0,,Omantel,"7,895",745,ATL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,17.8,"COMBO bundle, 12.0 OR for 28.0 days",Hayyak Plus 12,combo,increase_arpu,"18GB data, 350 minutes",28,high|very_high,Loyal Customers|Potential Loyalist|Champions,25.63,5.4,0.0,7.2,positive,"Hayyak Plus — Hayyak Plus 12: 18GB data, 350 minutes. COMBO bundle, 12.0 OR for 28.0 days."
7908,Combo BTL Monthly,7908,RO2 - 3GB and 50 Minutes,2,COMBO,"3,072",28,Addon,50,0,3,0,50,0,0,,Omantel,"7,908","2,579",BTL,yes,bundle|cross_sell|light_nbo,reduce_churn|recommend_best_campaign,5.2,"COMBO bundle, 2.0 OR for 28.0 days",RO2 - 3GB and 50 Minutes,combo,reduce_churn,"3GB data, 50 minutes",28,low|medium,Loyal Customers|Potential Loyalist|Champions,1.25,0.9,0.028,1.2,positive,"Combo BTL Monthly — RO2 - 3GB and 50 Minutes: 3GB data, 50 minutes. COMBO bundle, 2.0 OR for 28.0 days."
USG_1170740,Hayyak,USG_1170740,Hayyak 7 OR,7,COMBO,"10,240",30,Master,"210,175",0,10,0,210175,0,0,,Omantel,"7,800","1,342",ATL,yes,upsell|bundle|cross_sell,increase_arpu|upsell,10.7,"COMBO bundle, 7.0 OR for 30.0 days",Hayyak 7 OR,combo,increase_arpu,"10GB data, 210175 minutes",30,medium|high,Loyal Customers|Potential Loyalist|Champions,8.99,3.0,0.0,4.2,positive,"Hayyak — Hayyak 7 OR: 10GB data, 210175 minutes. COMBO bundle, 7.0 OR for 30.0 days."
USG_1140930,Hayyak Data,USG_1140930,Hayyak 250 MB 0.500 Bz Daily,0.5,DATA,256,1,Addon,0,0,0.25,0,0,0,0,,Omantel,"8,023",757,ATL,yes,light_nbo|gentle_nbo|reactivation,increase_data_usage|reactivate_inactive|increase_activity,3.5,"DATA bundle, 0.5 OR for 1.0 days",Hayyak 250 MB 0.500 Bz Daily,data,increase_data_usage,256MB data,1,low|medium|high,Loyal Customers|Potential Loyalist|Champions,0.21,0.08,0.022,0.3,neutral,"Hayyak Data — Hayyak 250 MB 0.500 Bz Daily: 256MB data. DATA bundle, 0.5 OR for 1.0 days."
USG_1140280,Jawazak,USG_1140280,Jawazak World 3Days,12,ROAMING,"1,024",3,Addon,0,0,1,0,0,0,0,,Omantel,"7,883",732,ATL,yes,cross_sell|premium_bundle,cross_sell,11.3,"ROAMING bundle, 12.0 OR for 3.0 days",Jawazak World 3Days,roaming,cross_sell,1GB data,3,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,16.27,0.3,0.0,7.2,positive,"Jawazak — Jawazak World 3Days: 1GB data. ROAMING bundle, 12.0 OR for 3.0 days."
7863,Hayyak BTL,7863,Monthly 12GB and 150 Flexi minutes,7,COMBO,"12,288",28,Addon,150,0,12,0,150,0,0,*171*816#,Omantel,"7,863","2,572",BTL,yes,upsell|bundle|cross_sell,increase_arpu|upsell,10.7,"COMBO bundle, 7.0 OR for 28.0 days",Monthly 12GB and 150 Flexi minutes,combo,increase_arpu,"12GB data, 150 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,8.99,3.6,0.0,4.2,positive,"Hayyak BTL — Monthly 12GB and 150 Flexi minutes: 12GB data, 150 minutes. COMBO bundle, 7.0 OR for 28.0 days."
USG_1120460,Marhaba World,USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,IDD,0,7,Addon,15,0,0,0,0,0,15,,Omantel,"8,063",775,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 7.0 days",Marhaba World 15Minutes to SAUDI ARABIA,idd,cross_sell,15 minutes,7,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,0.0,0.0,0.6,positive,"Marhaba World — Marhaba World 15Minutes to SAUDI ARABIA: 15 minutes. IDD bundle, 1.0 OR for 7.0 days."
USG_1170750,Hayyak Data,USG_1170750,Hayyak Data only 150 GB 25 RO bundle,25,DATA,"153,600",28,Master,0,0,150,0,0,0,0,,Omantel,"7,802",723,ATL,yes,premium_upsell|upsell|bundle,increase_arpu|increase_data_usage,25.0,"DATA bundle, 25.0 OR for 28.0 days",Hayyak Data only 150 GB 25 RO bundle,data,increase_arpu,150GB data,28,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,75.0,45.0,0.0,15.0,positive,"Hayyak Data — Hayyak Data only 150 GB 25 RO bundle: 150GB data. DATA bundle, 25.0 OR for 28.0 days."
7873,Hayyak BTL,7873,Monthly 30GB and 450 Flexi minutes,15,COMBO,"30,720",28,Addon,450,0,30,0,450,0,0,*171*819#,Omantel,"7,873","2,577",BTL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,21.5,"COMBO bundle, 15.0 OR for 28.0 days",Monthly 30GB and 450 Flexi minutes,combo,increase_arpu,"30GB data, 450 minutes",28,high|very_high,Loyal Customers|Potential Loyalist|Champions,38.7,9.0,0.0,9.0,positive,"Hayyak BTL — Monthly 30GB and 450 Flexi minutes: 30GB data, 450 minutes. COMBO bundle, 15.0 OR for 28.0 days."
